1. Opportunity Name,2. Region,3. County,4. Location,5. Type,6. Ensemble (if app.),7. Genre,8. Age,9. Level,10. Instruments,11. Other Tags,12. Cost,13. About Opportunity,14. When,15. Opportunity Website / Signup,16. Organisation Name,17. About Organisation,18. Organisation Website,19. Only for London/Local?,20. Extra Notes
FVMC - String Ensemble,South West,Gloucestershire,"Archway School, Stroud - UK",Ensemble,String Ensemble,Orchestral,Young Musicians,All Abilities,"Violin, Viola, Cello, Double Bass",,£175 per year,,,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/five-valleys-music-centre-fvmc/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
FVMC - Wind Band,South West,Gloucestershire,"Archway School, Stroud - UK",Ensemble,Wind Band,Orchestral,Young Musicians,All Abilities,,,£175 per year,,,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/five-valleys-music-centre-fvmc/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
FVMC - Full Orchestra,South West,Gloucestershire,"Archway School, Stroud - UK",Ensemble,Orchestra,Orchestral,Young Musicians,All Abilities,,,£175 per year,,,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/five-valleys-music-centre-fvmc/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
FVMC - Adult Wind Band,South West,Gloucestershire,"Archway School, Stroud - UK",Ensemble,Wind Band,Orchestral,Adult Players,Grade 5+,,"Grade 5, Grade 6, Grade 7, Grade 8",£175 per year,"Five Valleys Adult Wind Band is a group specifically for adults players. Working at grade 5 and upwards, the group caters for those who would like to continue developing their playing and ensemble skills whilst at the same time enjoying the experience of being in a band.  We have a wide ranging repertoire including film, swing, and classical music and play several concerts a year.  Recently we've played in Cheltenham Town Hall, Pittville Pump Room and taken part in the National Concert Band Festival.

We are a friendly and supportive group, and you would be welcome to come and join us. Contact our Director, Jenny Steele before attending the first time - glosmusic@gloucestershire.gov.uk.

Rehearsals are at Archway School in Stroud and take place from 9:30am-11:30am on a Saturday morning, term time only. We ask that members be a minimum standard of Grade 5. Please see the calendar for further rehearsal details.",Saturdays 9:30 - 11:30,https://www.gloucestershiremusic.co.uk/adult-groups/five-valleys-adult-wind-band-fvawb/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
FMC - Orchestra,South West,Gloucestershire,"St Whites Primary School, Cinderford - UK",Ensemble,Orchestra,Orchestral,All ,Unknown,,,£175 per year,"As this new music centre evolves during 2025-26, we will be moving from the previous Wind Band model that has been running in Coleford for many years to a broader instrumental ensemble that also includes string players.

",Tuesdays 18:30 - 20:30,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/forest-music-centre/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
FMC - String Starters,South West,Gloucestershire,"St Whites Primary School, Cinderford - UK",Ensemble,String Ensemble,Orchestral,All ,Beginners,,,£175 per year,"In order to support the development of budding string players in the Forest of Dean we will also be starting a new 'String Starters' group for beginners of all ages from 13th January 2026.  Why not come and learn alongside your child, or give your child the opportunity to develop further if they have experienced Whole Class Instrumental Tuition (WCET) in their school.  Maybe convince a friend that your New Year resolution for 2026 is to start learning an instrument - it's great for your mental and physical health, as well as being lots of fun!",Tuesdays 18:30 - 19:30,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/forest-music-centre/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
FMC - Strumthing Special,South West,Gloucestershire,"St Whites Primary School, Cinderford - UK",Ensemble,Other Ensemble,Orchestral,All ,All Abilities,Ukelele,,£175 per year,"Our new ukulele group is for adults and young people to learn and improve their ukulele skills together. No experience necessary, you'll just need a ukulele. Starting 13th January 2026.",Tuesdays 19:30 - 20:30,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/forest-music-centre/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
Gloucester Youth Jazz Academy,South West,Gloucestershire,"Cheltenham Bournside School, Cheltenham - UK",Ensemble,Jazz Group,Jazz,9 - 17,"Ideally grade 4+, no jazz experience nor audition necessary",,"Grade 4, Grade 5, Grade 6, Grade 7, Grade 8, No Experience",£175 per year,"* A junior group encouraging the next young generation of budding jazz musicians.
* Training - This ensemble is the ideal opportunity for any young musicians keen to explore jazz music for the first time and develop fundamental musical skills and musicianship.
* Young musicians ideally grade 4 and above are encouraged to join - no experience of jazz nor audition is necessary, however the willingness to participate, listen attentively and the ability to read music notation is important, as well as frequent independent practice.

* Typical student age range is 9 - 17.
* Directed by Tessa Frye and Maureen Currie.
* Repertoire - The band perform in a range of genres / styles and develop listening, reading, improvising, ensemble and individual musical skills.

* Performances - GYJA is involved in our GM presents concerts, our annual GJL concerts and typically performs in youth and jazz festivals each academic year (eg. NCBF, Music for Youth regionals, Cheltenham Jazz festival, Upton Jazz festival and Jazz Stroud)

* After GYJA? Members typically move up to GYJO (following successful audition) when they feel ready in terms of their playing ability, musical awareness / jazz theory, notation reading and improvising.",Enquire for more info,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/gloucestershire-jazz-live-gjl/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
Gloucester Youth Jazz Orchestra,South West,Gloucestershire,"Cheltenham Bournside School, Cheltenham - UK",Ensemble,Orchestra,Jazz,Up to 21,"Ideally Grade 6+, 3 x trial rehearsals & audition required",,"Audition, Grade 6, Grade 7, Grade 8",£175 per year,"* An advanced senior group ideally for experienced youth performers, encouraging the next leading young generation of budding Jazz musicians.
* Training - This ensemble is the highest accolade for young county musicians wishing to develop and advance their Jazz individual and ensemble playing skills even further.

* Young musicians ideally grade 6 and above are encouraged to trial and audition, however the willingness to participate, listen attentively and the ability to have independent music notation reading (and sight-reading), frequent practice and improvising skills is all important. There is no expectation to be strong at all of these, however being open to trying and committing is vital to every members' and the band's success.

* Entry to the band is through attending three trial rehearsals and an audition (please see the ""GYJO entry, trials and audition"" menu for more information). A strong commitment in rehearsal and independent practice is pivotal to gaining the most out of the GYJO experience.

* Ideal for young musicians up to the age of 21 (anyone over 21 is eligible for Jazz2Go)
* The band is directed by Peter Martin.
* GYJO learn and perform a diverse range of repertoire with an emphasis on broad variety, challenge and developing advanced listening, ensemble, improvisation and other jazz skills (eg. theoretical knowledge of chords, chord symbols and sequences / scales and modes / performing in different genres and styles etc.).

* Since 2006 the band have had the opportunity for coaching that allows band-members' arrangements and compositions to be developed, performed, recorded and fully showcased.  

* Performances - GYJO is involved in our GM Presents concerts, our annual GJL concerts and typically performs in youth and jazz festivals each academic year (eg. NCBF, Music for Youth regional and national festivals, Cheltenham Jazz festival, Upton Jazz Festival, Jazz Stroud). On some occasions they are involved in GYJO specific concerts or invited to be involved in other performance opportunities eg. Gloucestershire Motor Show, Churchdown Community Centre, Rotary Club Carol Concert 2023 and 2024. In November 2016 GYJO had the privilege to perform at the Music For Youth Proms at the Royal Albert Hall. 

* After GYJO?  Some members typically move onto jobs / apprenticeships and can join our Jazz2Go group once age 22. GYJO members who go to university / college courses have kept us up-to-date on further education / community big-bands and ensembles they join and of course create, lead and tour themselves!

* Music graduates - Many ex-GYJO players have gained places on Music under and post graduate degree courses (including Royal Birmingham Conservatoire, Royal Welsh College of Music and Drama, Trinity Laban Conservatoire, Leeds College of Music, Royal Northern College of Music, Royal Academy of Music, Liverpool University, Oxford University, Cambridge University and Berklee College of Music [Boston, USA]). Some ex-GYJO players are now professional musicians and music educators too.

",Enquire for more info,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/gloucestershire-jazz-live-gjl/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
Collwell Arts Jazz2Go,South West,Gloucestershire,"Belmont School, Cheltenham - UK",Ensemble,Jazz Group,Jazz,Adult Players,"Ideally grade 4+, no jazz experience nor audition necessary",,"Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",£175 per year,"* A training adult jazz ensemble ideal for musicians wanting to learn about jazz, from any breadth of experience.
* Adult musicians grade 4 (ie. the ability to read notated music confidently) and above are encouraged to join.
* Training - The band encourages and helps develop improvisation skills and ensemble playing from members.
* No audition is required - just being keen, attending every week and frequent independent practice.
* The band is directed by Tessa Frye. 
* Jazz2Go learn and perform a broad range of repertoire with an emphasis on securing key jazz skills and developing approaches to improvisation.

* Performances - Jazz2Go is involved in our GM presents concerts, some of our GJL concerts and often chooses to perform in other events eg. the National Concert Band Festival. Jazz2Go sometimes also acquire their own concerts / gigs throughout each year when opportunity allows and usually have an end of year concert opportunity.",Enquire for more info,https://www.gloucestershiremusic.co.uk/youth-groups/music-centres/gloucestershire-jazz-live-gjl/,Gloucestershire Music,"About Us

Gloucestershire Music is the county’s largest delivery partner for the county’s Music Education Hub ‘Make Music Gloucestershire’, which is funded by Arts Council England.

 Our Mission

is to provide high quality, accessible and enjoyable musical experiences for children and adults.  Our team is passionate about music education and making a difference to people’s lives through the power of music.  Whether playing an instrument or singing is a hobby or a career path choice we have something to offer everyone, as we provide musical ensembles for all levels of learner.
is to support schools and music educators around the county to confidently deliver music to young people in their classrooms
Delivery

 At Gloucestershire Music we...

provide schools with whole class instrumental lessons, CPD for staff, special projects, workshops, support and advice…and more
offer children and young people opportunities to play and perform together in our music groups – orchestras, wind bands, jazz groups, choirs and other ensembles, at our out-of-school hours music centres
provide instruments – from bassoons to xylophones, through our instrument hire service to anyone in the County (not just pupils)
... and run other activities including workshops, masterclasses, and more!

 

Events

We proudly organise some major music festivals for Gloucestershire:

The National Concert Band Festival – we host it’s South West and Wales Regional Festival in the county annually 
Music for Youth – we have organised a major two-day Regional Festival in Gloucestershire every March for the last 5 years and it is one of the most well attended in the country 
BBC Ten Pieces events 
County concerts – numerous concerts are held throughout the year across the county showcasing the talents of our groups.  Read about some of these on our News and Events page
Tours and Residentials – some of our members and groups take part in amazing tours abroad!  Read about our past tours here
Partnership Working

At Gloucestershire Music we want to inspire our county’s musicians and young people and therefore we continue to work closely with National Partnership Organisations and professional ensembles and artists such as the Bournemouth Symphony Orchestra, National Choir of Great Britain, Birmingham Conservatoire (LEAP Ensemble), Tasmin Little OBE, Guy Barker, Julian Bliss, Craig Mather, Band of the Bugles and the Rifles, Philip Harper, Andy Coxon, Nathanial Morrison, Keith Allan, Alexander L'Estrange, 5 Mics and Tom Davoran to name just a few! We also work with otherneighbouring Music Hubs such as South Gloucestershire and Bath and North East Somerset to collaborate on major projects such as the Music For Youth Massed Ensemble for the Schools Prom at the Royal Albert Hall!",https://www.gloucestershiremusic.co.uk,,
